Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
4,-,DNB,-,-,1,0,,Test v New Zealand,Indore,08-Oct-16,Test # 2223,Test, New Zealand
1,-,DNB,-,-,0,0,,ODI v New Zealand,Dharamsala,16-Oct-16,ODI # 3796,ODI ,New Zealand
2,85*,-,-,-,-,-,,ODI v New Zealand,Dharamsala,16-Oct-16,ODI # 3796,ODI ,New Zealand
1,-,DNB,-,-,0,0,,ODI v New Zealand,Delhi,20-Oct-16,ODI # 3797,ODI ,New Zealand
2,9,-,-,-,-,-,,ODI v New Zealand,Delhi,20-Oct-16,ODI # 3797,ODI ,New Zealand
1,-,DNB,-,-,1,0,,ODI v New Zealand,Mohali,23-Oct-16,ODI # 3798,ODI ,New Zealand
2,154*,-,-,-,-,-,,ODI v New Zealand,Mohali,23-Oct-16,ODI # 3798,ODI ,New Zealand
1,-,DNB,-,-,1,0,,ODI v New Zealand,Ranchi,26-Oct-16,ODI # 3799,ODI ,New Zealand
2,45,-,-,-,-,-,,ODI v New Zealand,Ranchi,26-Oct-16,ODI # 3799,ODI ,New Zealand
1,65,-,-,-,-,-,,ODI v New Zealand,Visakhapatnam,29-Oct-16,ODI # 3800,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Visakhapatnam,29-Oct-16,ODI # 3800,ODI ,New Zealand
1,-,DNB,-,-,0,0,,Test v England,Rajkot,09-Nov-16,Test # 2232,Test, England
2,40,-,-,-,-,-,,Test v England,Rajkot,09-Nov-16,Test # 2232,Test, England
3,-,DNB,-,-,0,0,,Test v England,Rajkot,09-Nov-16,Test # 2232,Test, England
4,49*,-,-,-,-,-,,Test v England,Rajkot,09-Nov-16,Test # 2232,Test, England
1,167,-,-,-,-,-,,Test v England,Visakhapatnam,17-Nov-16,Test # 2235,Test, England
2,-,DNB,-,-,0,0,,Test v England,Visakhapatnam,17-Nov-16,Test # 2235,Test, England
3,81,-,-,-,-,-,,Test v England,Visakhapatnam,17-Nov-16,Test # 2235,Test, England
4,-,DNB,-,-,1,0,,Test v England,Visakhapatnam,17-Nov-16,Test # 2235,Test, England
1,-,DNB,-,-,1,0,,Test v England,Mohali,26-Nov-16,Test # 2238,Test, England
2,62,-,-,-,-,-,,Test v England,Mohali,26-Nov-16,Test # 2238,Test, England
3,-,DNB,-,-,0,0,,Test v England,Mohali,26-Nov-16,Test # 2238,Test, England
4,6*,-,-,-,-,-,,Test v England,Mohali,26-Nov-16,Test # 2238,Test, England
1,-,DNB,-,-,2,0,,Test v England,Wankhede,08-Dec-16,Test # 2239,Test, England
2,235,-,-,-,-,-,,Test v England,Wankhede,08-Dec-16,Test # 2239,Test, England
3,-,DNB,-,-,0,0,,Test v England,Wankhede,08-Dec-16,Test # 2239,Test, England
1,-,DNB,-,-,1,0,,Test v England,Chennai,16-Dec-16,Test # 2241,Test, England
2,15,-,-,-,-,-,,Test v England,Chennai,16-Dec-16,Test # 2241,Test, England
3,-,DNB,-,-,0,0,,Test v England,Chennai,16-Dec-16,Test # 2241,Test, England
1,-,DNB,-,-,0,0,,ODI v England,Pune,15-Jan-17,ODI # 3819,ODI ,England
2,122,-,-,-,-,-,,ODI v England,Pune,15-Jan-17,ODI # 3819,ODI ,England
1,8,-,-,-,-,-,,ODI v England,Cuttack,19-Jan-17,ODI # 3821,ODI ,England
2,-,DNB,-,-,1,0,,ODI v England,Cuttack,19-Jan-17,ODI # 3821,ODI ,England
1,-,DNB,-,-,0,0,,ODI v England,Eden Gardens,22-Jan-17,ODI # 3824,ODI ,England
2,55,-,-,-,-,-,,ODI v England,Eden Gardens,22-Jan-17,ODI # 3824,ODI ,England
1,29,-,-,-,-,-,,T20I v England,Kanpur,26-Jan-17,T20I # 592,T20I, England
2,-,DNB,-,-,0,0,,T20I v England,Kanpur,26-Jan-17,T20I # 592,T20I, England
1,21,-,-,-,-,-,,T20I v England,Nagpur,29-Jan-17,T20I # 593,T20I, England
2,-,DNB,-,-,0,0,,T20I v England,Nagpur,29-Jan-17,T20I # 593,T20I, England
1,2,-,-,-,-,-,,T20I v England,Bengaluru,01-Feb-17,T20I # 594,T20I, England
2,-,DNB,-,-,3,0,,T20I v England,Bengaluru,01-Feb-17,T20I # 594,T20I, England
1,204,-,-,-,-,-,,Test v Bangladesh,Hyderabad,09-Feb-17,Test # 2249,Test, Bangladesh
2,-,DNB,-,-,0,0,,Test v Bangladesh,Hyderabad,09-Feb-17,Test # 2249,Test, Bangladesh
3,38,-,-,-,-,-,,Test v Bangladesh,Hyderabad,09-Feb-17,Test # 2249,Test, Bangladesh
4,-,DNB,-,-,1,0,,Test v Bangladesh,Hyderabad,09-Feb-17,Test # 2249,Test, Bangladesh
