Inns,Score,Overs,Conc,Wkts,Ct,St,Unnamed: 7,Opposition,Ground,Start Date,        Type,Format,Team
2,149,-,-,-,-,-,,Test v England,Birmingham,01-Aug-18,Test # 2314,Test, England
3,-,DNB,-,-,1,0,,Test v England,Birmingham,01-Aug-18,Test # 2314,Test, England
4,51,-,-,-,-,-,,Test v England,Birmingham,01-Aug-18,Test # 2314,Test, England
1,23,-,-,-,-,-,,Test v England,Lord's,09-Aug-18,Test # 2315,Test, England
2,-,DNB,-,-,0,0,,Test v England,Lord's,09-Aug-18,Test # 2315,Test, England
3,17,-,-,-,-,-,,Test v England,Lord's,09-Aug-18,Test # 2315,Test, England
1,97,-,-,-,-,-,,Test v England,Nottingham,18-Aug-18,Test # 2316,Test, England
2,-,DNB,-,-,0,0,,Test v England,Nottingham,18-Aug-18,Test # 2316,Test, England
3,103,-,-,-,-,-,,Test v England,Nottingham,18-Aug-18,Test # 2316,Test, England
4,-,DNB,-,-,1,0,,Test v England,Nottingham,18-Aug-18,Test # 2316,Test, England
1,-,DNB,-,-,2,0,,Test v England,Southampton,30-Aug-18,Test # 2317,Test, England
2,46,-,-,-,-,-,,Test v England,Southampton,30-Aug-18,Test # 2317,Test, England
3,-,DNB,-,-,0,0,,Test v England,Southampton,30-Aug-18,Test # 2317,Test, England
4,58,-,-,-,-,-,,Test v England,Southampton,30-Aug-18,Test # 2317,Test, England
1,-,DNB,-,-,0,0,,Test v England,The Oval,07-Sep-18,Test # 2318,Test, England
2,49,-,-,-,-,-,,Test v England,The Oval,07-Sep-18,Test # 2318,Test, England
3,-,DNB,-,-,0,0,,Test v England,The Oval,07-Sep-18,Test # 2318,Test, England
4,0,-,-,-,-,-,,Test v England,The Oval,07-Sep-18,Test # 2318,Test, England
1,139,-,-,-,-,-,,Test v West Indies,Rajkot,04-Oct-18,Test # 2319,Test, West Indies
2,-,DNB,-,-,0,0,,Test v West Indies,Rajkot,04-Oct-18,Test # 2319,Test, West Indies
3,-,DNB,-,-,0,0,,Test v West Indies,Rajkot,04-Oct-18,Test # 2319,Test, West Indies
1,-,DNB,-,-,0,0,,Test v West Indies,Hyderabad,12-Oct-18,Test # 2321,Test, West Indies
2,45,-,-,-,-,-,,Test v West Indies,Hyderabad,12-Oct-18,Test # 2321,Test, West Indies
3,-,DNB,-,-,0,0,,Test v West Indies,Hyderabad,12-Oct-18,Test # 2321,Test, West Indies
4,DNB,-,-,-,-,-,,Test v West Indies,Hyderabad,12-Oct-18,Test # 2321,Test, West Indies
1,-,DNB,-,-,0,0,,ODI v West Indies,Guwahati,21-Oct-18,ODI # 4056,ODI ,West Indies
2,140,-,-,-,-,-,,ODI v West Indies,Guwahati,21-Oct-18,ODI # 4056,ODI ,West Indies
1,157*,-,-,-,-,-,,ODI v West Indies,Visakhapatnam,24-Oct-18,ODI # 4059,ODI ,West Indies
2,-,DNB,-,-,1,0,,ODI v West Indies,Visakhapatnam,24-Oct-18,ODI # 4059,ODI ,West Indies
1,-,DNB,-,-,0,0,,ODI v West Indies,Pune,27-Oct-18,ODI # 4062,ODI ,West Indies
2,107,-,-,-,-,-,,ODI v West Indies,Pune,27-Oct-18,ODI # 4062,ODI ,West Indies
1,16,-,-,-,-,-,,ODI v West Indies,Brabourne,29-Oct-18,ODI # 4063,ODI ,West Indies
2,-,DNB,-,-,0,0,,ODI v West Indies,Brabourne,29-Oct-18,ODI # 4063,ODI ,West Indies
1,-,DNB,-,-,1,0,,ODI v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064,ODI ,West Indies
2,33*,-,-,-,-,-,,ODI v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064,ODI ,West Indies
1,-,DNB,-,-,0,0,,T20I v Australia,Brisbane,21-Nov-18,T20I # 712,T20I, Australia
2,4,-,-,-,-,-,,T20I v Australia,Brisbane,21-Nov-18,T20I # 712,T20I, Australia
0,TDNB,-,-,-,-,-,,T20I v Australia,Melbourne,23-Nov-18,T20I # 713,T20I, Australia
1,-,DNB,-,-,0,0,,T20I v Australia,Melbourne,23-Nov-18,T20I # 713,T20I, Australia
1,-,DNB,-,-,1,0,,T20I v Australia,Sydney,25-Nov-18,T20I # 714,T20I, Australia
2,61*,-,-,-,-,-,,T20I v Australia,Sydney,25-Nov-18,T20I # 714,T20I, Australia
1,3,-,-,-,-,-,,Test v Australia,Adelaide,06-Dec-18,Test # 2333,Test, Australia
2,-,DNB,-,-,0,0,,Test v Australia,Adelaide,06-Dec-18,Test # 2333,Test, Australia
3,34,-,-,-,-,-,,Test v Australia,Adelaide,06-Dec-18,Test # 2333,Test, Australia
4,-,DNB,-,-,1,0,,Test v Australia,Adelaide,06-Dec-18,Test # 2333,Test, Australia
1,-,DNB,-,-,1,0,,Test v Australia,Perth,14-Dec-18,Test # 2334,Test, Australia
2,123,-,-,-,-,-,,Test v Australia,Perth,14-Dec-18,Test # 2334,Test, Australia
3,-,DNB,-,-,1,0,,Test v Australia,Perth,14-Dec-18,Test # 2334,Test, Australia
4,17,-,-,-,-,-,,Test v Australia,Perth,14-Dec-18,Test # 2334,Test, Australia
1,82,-,-,-,-,-,,Test v Australia,Melbourne,26-Dec-18,Test # 2337,Test, Australia
2,-,DNB,-,-,0,0,,Test v Australia,Melbourne,26-Dec-18,Test # 2337,Test, Australia
3,0,-,-,-,-,-,,Test v Australia,Melbourne,26-Dec-18,Test # 2337,Test, Australia
4,-,DNB,-,-,2,0,,Test v Australia,Melbourne,26-Dec-18,Test # 2337,Test, Australia
1,23,-,-,-,-,-,,Test v Australia,Sydney,03-Jan-19,Test # 2339,Test, Australia
2,-,DNB,-,-,0,0,,Test v Australia,Sydney,03-Jan-19,Test # 2339,Test, Australia
3,-,DNB,-,-,0,0,,Test v Australia,Sydney,03-Jan-19,Test # 2339,Test, Australia
1,-,DNB,-,-,0,0,,ODI v Australia,Sydney,12-Jan-19,ODI # 4077,ODI ,Australia
2,3,-,-,-,-,-,,ODI v Australia,Sydney,12-Jan-19,ODI # 4077,ODI ,Australia
1,-,DNB,-,-,1,0,,ODI v Australia,Adelaide,15-Jan-19,ODI # 4078,ODI ,Australia
2,104,-,-,-,-,-,,ODI v Australia,Adelaide,15-Jan-19,ODI # 4078,ODI ,Australia
1,-,DNB,-,-,1,0,,ODI v Australia,Melbourne,18-Jan-19,ODI # 4079,ODI ,Australia
2,46,-,-,-,-,-,,ODI v Australia,Melbourne,18-Jan-19,ODI # 4079,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v New Zealand,Napier,23-Jan-19,ODI # 4082,ODI ,New Zealand
2,45,-,-,-,-,-,,ODI v New Zealand,Napier,23-Jan-19,ODI # 4082,ODI ,New Zealand
1,43,-,-,-,-,-,,ODI v New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085,ODI ,New Zealand
1,-,DNB,-,-,1,0,,ODI v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088,ODI ,New Zealand
2,60,-,-,-,-,-,,ODI v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088,ODI ,New Zealand
1,24,-,-,-,-,-,,T20I v Australia,Visakhapatnam,24-Feb-19,T20I # 748,T20I, Australia
2,-,DNB,-,-,0,0,,T20I v Australia,Visakhapatnam,24-Feb-19,T20I # 748,T20I, Australia
1,72*,-,-,-,-,-,,T20I v Australia,Bengaluru,27-Feb-19,T20I # 749,T20I, Australia
2,-,DNB,-,-,0,0,,T20I v Australia,Bengaluru,27-Feb-19,T20I # 749,T20I, Australia
1,-,DNB,-,-,2,0,,ODI v Australia,Hyderabad,02-Mar-19,ODI # 4102,ODI ,Australia
2,44,-,-,-,-,-,,ODI v Australia,Hyderabad,02-Mar-19,ODI # 4102,ODI ,Australia
1,116,-,-,-,-,-,,ODI v Australia,Nagpur,05-Mar-19,ODI # 4106,ODI ,Australia
2,-,DNB,-,-,1,0,,ODI v Australia,Nagpur,05-Mar-19,ODI # 4106,ODI ,Australia
1,-,DNB,-,-,0,0,,ODI v Australia,Ranchi,08-Mar-19,ODI # 4109,ODI ,Australia
2,123,-,-,-,-,-,,ODI v Australia,Ranchi,08-Mar-19,ODI # 4109,ODI ,Australia
1,7,-,-,-,-,-,,ODI v Australia,Mohali,10-Mar-19,ODI # 4111,ODI ,Australia
2,-,DNB,-,-,0,0,,ODI v Australia,Mohali,10-Mar-19,ODI # 4111,ODI ,Australia
1,-,DNB,-,-,2,0,,ODI v Australia,Delhi,13-Mar-19,ODI # 4113,ODI ,Australia
2,20,-,-,-,-,-,,ODI v Australia,Delhi,13-Mar-19,ODI # 4113,ODI ,Australia
1,-,DNB,-,-,2,0,,ODI v South Africa,Southampton,05-Jun-19,ODI # 4150,ODI ,South Africa
2,18,-,-,-,-,-,,ODI v South Africa,Southampton,05-Jun-19,ODI # 4150,ODI ,South Africa
1,82,-,-,-,-,-,,ODI v Australia,The Oval,09-Jun-19,ODI # 4155,ODI ,Australia
2,-,DNB,-,-,1,0,,ODI v Australia,The Oval,09-Jun-19,ODI # 4155,ODI ,Australia
1,77,-,-,-,-,-,,ODI v Pakistan,Manchester,16-Jun-19,ODI # 4161,ODI ,Pakistan
2,-,DNB,-,-,0,0,,ODI v Pakistan,Manchester,16-Jun-19,ODI # 4161,ODI ,Pakistan
1,67,-,-,-,-,-,,ODI v Afghanistan,Southampton,22-Jun-19,ODI # 4169,ODI ,Afghanistan
2,-,DNB,-,-,0,0,,ODI v Afghanistan,Southampton,22-Jun-19,ODI # 4169,ODI ,Afghanistan
1,72,-,-,-,-,-,,ODI v West Indies,Manchester,27-Jun-19,ODI # 4175,ODI ,West Indies
2,-,DNB,-,-,0,0,,ODI v West Indies,Manchester,27-Jun-19,ODI # 4175,ODI ,West Indies
1,-,DNB,-,-,0,0,,ODI v England,Birmingham,30-Jun-19,ODI # 4179,ODI ,England
2,66,-,-,-,-,-,,ODI v England,Birmingham,30-Jun-19,ODI # 4179,ODI ,England
1,26,-,-,-,-,-,,ODI v Bangladesh,Birmingham,02-Jul-19,ODI # 4182,ODI ,Bangladesh
2,-,DNB,-,-,1,0,,ODI v Bangladesh,Birmingham,02-Jul-19,ODI # 4182,ODI ,Bangladesh
1,-,DNB,-,-,0,0,,ODI v Sri Lanka,Leeds,06-Jul-19,ODI # 4187,ODI ,Sri Lanka
2,34*,-,-,-,-,-,,ODI v Sri Lanka,Leeds,06-Jul-19,ODI # 4187,ODI ,Sri Lanka
1,-,DNB,-,-,2,0,,ODI v New Zealand,Manchester,09-Jul-19,ODI # 4190,ODI ,New Zealand
2,1,-,-,-,-,-,,ODI v New Zealand,Manchester,09-Jul-19,ODI # 4190,ODI ,New Zealand
1,-,DNB,-,-,1,0,,T20I v West Indies,Lauderhill,03-Aug-19,T20I # 842,T20I, West Indies
2,19,-,-,-,-,-,,T20I v West Indies,Lauderhill,03-Aug-19,T20I # 842,T20I, West Indies
1,28,-,-,-,-,-,,T20I v West Indies,Lauderhill,04-Aug-19,T20I # 843,T20I, West Indies
2,-,DNB,-,-,0,0,,T20I v West Indies,Lauderhill,04-Aug-19,T20I # 843,T20I, West Indies
1,-,DNB,-,-,0,0,,T20I v West Indies,Providence,06-Aug-19,T20I # 846,T20I, West Indies
2,59,-,-,-,-,-,,T20I v West Indies,Providence,06-Aug-19,T20I # 846,T20I, West Indies
0,TDNB,-,-,-,-,-,,ODI v West Indies,Providence,08-Aug-19,ODI # 4196,ODI ,West Indies
1,-,DNB,-,-,0,0,,ODI v West Indies,Providence,08-Aug-19,ODI # 4196,ODI ,West Indies
1,120,-,-,-,-,-,,ODI v West Indies,Port of Spain,11-Aug-19,ODI # 4197,ODI ,West Indies
2,-,DNB,-,-,3,0,,ODI v West Indies,Port of Spain,11-Aug-19,ODI # 4197,ODI ,West Indies
1,-,DNB,-,-,2,0,,ODI v West Indies,Port of Spain,14-Aug-19,ODI # 4199,ODI ,West Indies
2,114*,-,-,-,-,-,,ODI v West Indies,Port of Spain,14-Aug-19,ODI # 4199,ODI ,West Indies
1,9,-,-,-,-,-,,Test v West Indies,North Sound,22-Aug-19,Test # 2358,Test, West Indies
2,-,DNB,-,-,1,0,,Test v West Indies,North Sound,22-Aug-19,Test # 2358,Test, West Indies
3,51,-,-,-,-,-,,Test v West Indies,North Sound,22-Aug-19,Test # 2358,Test, West Indies
4,-,DNB,-,-,0,0,,Test v West Indies,North Sound,22-Aug-19,Test # 2358,Test, West Indies
1,76,-,-,-,-,-,,Test v West Indies,Kingston,30-Aug-19,Test # 2359,Test, West Indies
2,-,DNB,-,-,1,0,,Test v West Indies,Kingston,30-Aug-19,Test # 2359,Test, West Indies
3,0,-,-,-,-,-,,Test v West Indies,Kingston,30-Aug-19,Test # 2359,Test, West Indies
4,-,DNB,-,-,1,0,,Test v West Indies,Kingston,30-Aug-19,Test # 2359,Test, West Indies
1,-,DNB,-,-,1,0,,T20I v South Africa,Mohali,18-Sep-19,T20I # 888,T20I, South Africa
2,72*,-,-,-,-,-,,T20I v South Africa,Mohali,18-Sep-19,T20I # 888,T20I, South Africa
1,9,-,-,-,-,-,,T20I v South Africa,Bengaluru,22-Sep-19,T20I # 893,T20I, South Africa
2,-,DNB,-,-,1,0,,T20I v South Africa,Bengaluru,22-Sep-19,T20I # 893,T20I, South Africa
1,20,-,-,-,-,-,,Test v South Africa,Visakhapatnam,02-Oct-19,Test # 2363,Test, South Africa
2,-,DNB,-,-,0,0,,Test v South Africa,Visakhapatnam,02-Oct-19,Test # 2363,Test, South Africa
3,31*,-,-,-,-,-,,Test v South Africa,Visakhapatnam,02-Oct-19,Test # 2363,Test, South Africa
4,-,DNB,-,-,0,0,,Test v South Africa,Visakhapatnam,02-Oct-19,Test # 2363,Test, South Africa
1,254*,-,-,-,-,-,,Test v South Africa,Pune,10-Oct-19,Test # 2364,Test, South Africa
2,-,DNB,-,-,1,0,,Test v South Africa,Pune,10-Oct-19,Test # 2364,Test, South Africa
3,-,1,4,0,0,0,,Test v South Africa,Pune,10-Oct-19,Test # 2364,Test, South Africa
1,12,-,-,-,-,-,,Test v South Africa,Ranchi,19-Oct-19,Test # 2365,Test, South Africa
2,-,DNB,-,-,0,0,,Test v South Africa,Ranchi,19-Oct-19,Test # 2365,Test, South Africa
3,-,DNB,-,-,0,0,,Test v South Africa,Ranchi,19-Oct-19,Test # 2365,Test, South Africa
1,-,DNB,-,-,1,0,,Test v Bangladesh,Indore,14-Nov-19,Test # 2366,Test, Bangladesh
2,0,-,-,-,-,-,,Test v Bangladesh,Indore,14-Nov-19,Test # 2366,Test, Bangladesh
3,-,DNB,-,-,0,0,,Test v Bangladesh,Indore,14-Nov-19,Test # 2366,Test, Bangladesh
1,-,DNB,-,-,0,0,,Test v Bangladesh,Eden Gardens,22-Nov-19,Test # 2369,Test, Bangladesh
2,136,-,-,-,-,-,,Test v Bangladesh,Eden Gardens,22-Nov-19,Test # 2369,Test, Bangladesh
3,-,DNB,-,-,3,0,,Test v Bangladesh,Eden Gardens,22-Nov-19,Test # 2369,Test, Bangladesh
1,-,DNB,-,-,0,0,,T20I v West Indies,Hyderabad,06-Dec-19,T20I # 1020,T20I, West Indies
2,94*,-,-,-,-,-,,T20I v West Indies,Hyderabad,06-Dec-19,T20I # 1020,T20I, West Indies
1,19,-,-,-,-,-,,T20I v West Indies,Thiruvananthapuram,08-Dec-19,T20I # 1022,T20I, West Indies
2,-,DNB,-,-,1,0,,T20I v West Indies,Thiruvananthapuram,08-Dec-19,T20I # 1022,T20I, West Indies
1,70*,-,-,-,-,-,,T20I v West Indies,Wankhede,11-Dec-19,T20I # 1024,T20I, West Indies
2,-,DNB,-,-,0,0,,T20I v West Indies,Wankhede,11-Dec-19,T20I # 1024,T20I, West Indies
1,4,-,-,-,-,-,,ODI v West Indies,Chennai,15-Dec-19,ODI # 4221,ODI ,West Indies
2,-,DNB,-,-,0,0,,ODI v West Indies,Chennai,15-Dec-19,ODI # 4221,ODI ,West Indies
1,0,-,-,-,-,-,,ODI v West Indies,Visakhapatnam,18-Dec-19,ODI # 4222,ODI ,West Indies
2,-,DNB,-,-,2,0,,ODI v West Indies,Visakhapatnam,18-Dec-19,ODI # 4222,ODI ,West Indies
1,-,DNB,-,-,0,0,,ODI v West Indies,Cuttack,22-Dec-19,ODI # 4223,ODI ,West Indies
2,85,-,-,-,-,-,,ODI v West Indies,Cuttack,22-Dec-19,ODI # 4223,ODI ,West Indies
0,TDNB,TDNB,-,-,-,-,,T20I v Sri Lanka,Guwahati,05-Jan-20,T20I # 1025,T20I, Sri Lanka
1,-,DNB,-,-,0,0,,T20I v Sri Lanka,Indore,07-Jan-20,T20I # 1026,T20I, Sri Lanka
2,30*,-,-,-,-,-,,T20I v Sri Lanka,Indore,07-Jan-20,T20I # 1026,T20I, Sri Lanka
1,26,-,-,-,-,-,,T20I v Sri Lanka,Pune,10-Jan-20,T20I # 1027,T20I, Sri Lanka
2,-,DNB,-,-,1,0,,T20I v Sri Lanka,Pune,10-Jan-20,T20I # 1027,T20I, Sri Lanka
1,16,-,-,-,-,-,,ODI v Australia,Wankhede,14-Jan-20,ODI # 4231,ODI ,Australia
2,-,DNB,-,-,0,0,,ODI v Australia,Wankhede,14-Jan-20,ODI # 4231,ODI ,Australia
1,78,-,-,-,-,-,,ODI v Australia,Rajkot,17-Jan-20,ODI # 4232,ODI ,Australia
2,-,DNB,-,-,1,0,,ODI v Australia,Rajkot,17-Jan-20,ODI # 4232,ODI ,Australia
1,-,DNB,-,-,1,0,,ODI v Australia,Bengaluru,19-Jan-20,ODI # 4233,ODI ,Australia
2,89,-,-,-,-,-,,ODI v Australia,Bengaluru,19-Jan-20,ODI # 4233,ODI ,Australia
1,-,DNB,-,-,1,0,,T20I v New Zealand,Auckland,24-Jan-20,T20I # 1031,T20I, New Zealand
2,45,-,-,-,-,-,,T20I v New Zealand,Auckland,24-Jan-20,T20I # 1031,T20I, New Zealand
1,-,DNB,-,-,2,0,,T20I v New Zealand,Auckland,26-Jan-20,T20I # 1034,T20I, New Zealand
2,11,-,-,-,-,-,,T20I v New Zealand,Auckland,26-Jan-20,T20I # 1034,T20I, New Zealand
1,38,-,-,-,-,-,,T20I v New Zealand,Hamilton,29-Jan-20,T20I # 1035,T20I, New Zealand
2,-,DNB,-,-,0,0,,T20I v New Zealand,Hamilton,29-Jan-20,T20I # 1035,T20I, New Zealand
1,11,-,-,-,-,-,,T20I v New Zealand,Wellington,31-Jan-20,T20I # 1036,T20I, New Zealand
2,-,DNB,-,-,0,0,,T20I v New Zealand,Wellington,31-Jan-20,T20I # 1036,T20I, New Zealand
1,51,-,-,-,-,-,,ODI v New Zealand,Hamilton,05-Feb-20,ODI # 4235,ODI ,New Zealand
2,-,DNB,-,-,0,0,,ODI v New Zealand,Hamilton,05-Feb-20,ODI # 4235,ODI ,New Zealand
1,-,DNB,-,-,0,0,,ODI v New Zealand,Auckland,08-Feb-20,ODI # 4239,ODI ,New Zealand
2,15,-,-,-,-,-,,ODI v New Zealand,Auckland,08-Feb-20,ODI # 4239,ODI ,New Zealand
1,9,-,-,-,-,-,,ODI v New Zealand,Mount Maunganui,11-Feb-20,ODI # 4243,ODI ,New Zealand
2,-,DNB,-,-,2,0,,ODI v New Zealand,Mount Maunganui,11-Feb-20,ODI # 4243,ODI ,New Zealand
1,2,-,-,-,-,-,,Test v New Zealand,Wellington,21-Feb-20,Test # 2385,Test, New Zealand
2,-,DNB,-,-,1,0,,Test v New Zealand,Wellington,21-Feb-20,Test # 2385,Test, New Zealand
3,19,-,-,-,-,-,,Test v New Zealand,Wellington,21-Feb-20,Test # 2385,Test, New Zealand
4,-,DNB,-,-,0,0,,Test v New Zealand,Wellington,21-Feb-20,Test # 2385,Test, New Zealand
1,3,-,-,-,-,-,,Test v New Zealand,Christchurch,29-Feb-20,Test # 2387,Test, New Zealand
2,-,DNB,-,-,1,0,,Test v New Zealand,Christchurch,29-Feb-20,Test # 2387,Test, New Zealand
3,14,-,-,-,-,-,,Test v New Zealand,Christchurch,29-Feb-20,Test # 2387,Test, New Zealand
4,-,1,4,0,0,0,,Test v New Zealand,Christchurch,29-Feb-20,Test # 2387,Test, New Zealand
1,-,DNB,-,-,0,0,,ODI v Australia,Sydney,27-Nov-20,ODI # 4265,ODI ,Australia
2,21,-,-,-,-,-,,ODI v Australia,Sydney,27-Nov-20,ODI # 4265,ODI ,Australia
1,-,DNB,-,-,1,0,,ODI v Australia,Sydney,29-Nov-20,ODI # 4266,ODI ,Australia
2,89,-,-,-,-,-,,ODI v Australia,Sydney,29-Nov-20,ODI # 4266,ODI ,Australia
1,63,-,-,-,-,-,,ODI v Australia,Canberra,02-Dec-20,ODI # 4267,ODI ,Australia
2,-,DNB,-,-,0,0,,ODI v Australia,Canberra,02-Dec-20,ODI # 4267,ODI ,Australia
1,9,-,-,-,-,-,,T20I v Australia,Canberra,04-Dec-20,T20I # 1114,T20I, Australia
2,-,DNB,-,-,1,0,,T20I v Australia,Canberra,04-Dec-20,T20I # 1114,T20I, Australia
1,-,DNB,-,-,0,0,,T20I v Australia,Sydney,06-Dec-20,T20I # 1115,T20I, Australia
2,40,-,-,-,-,-,,T20I v Australia,Sydney,06-Dec-20,T20I # 1115,T20I, Australia
1,-,DNB,-,-,0,0,,T20I v Australia,Sydney,08-Dec-20,T20I # 1116,T20I, Australia
2,85,-,-,-,-,-,,T20I v Australia,Sydney,08-Dec-20,T20I # 1116,T20I, Australia
1,74,-,-,-,-,-,,Test v Australia,Adelaide,17-Dec-20,Test # 2396,Test, Australia
2,-,DNB,-,-,2,0,,Test v Australia,Adelaide,17-Dec-20,Test # 2396,Test, Australia
3,4,-,-,-,-,-,,Test v Australia,Adelaide,17-Dec-20,Test # 2396,Test, Australia
4,-,DNB,-,-,0,0,,Test v Australia,Adelaide,17-Dec-20,Test # 2396,Test, Australia
1,-,DNB,-,-,0,0,,Test v England,Chennai,05-Feb-21,Test # 2409,Test, England
2,11,-,-,-,-,-,,Test v England,Chennai,05-Feb-21,Test # 2409,Test, England
3,-,DNB,-,-,0,0,,Test v England,Chennai,05-Feb-21,Test # 2409,Test, England
4,72,-,-,-,-,-,,Test v England,Chennai,05-Feb-21,Test # 2409,Test, England
1,0,-,-,-,-,-,,Test v England,Chennai,13-Feb-21,Test # 2411,Test, England
2,-,DNB,-,-,1,0,,Test v England,Chennai,13-Feb-21,Test # 2411,Test, England
3,62,-,-,-,-,-,,Test v England,Chennai,13-Feb-21,Test # 2411,Test, England
4,-,DNB,-,-,2,0,,Test v England,Chennai,13-Feb-21,Test # 2411,Test, England
1,-,DNB,-,-,0,0,,Test v England,Ahmedabad,24-Feb-21,Test # 2412,Test, England
2,27,-,-,-,-,-,,Test v England,Ahmedabad,24-Feb-21,Test # 2412,Test, England
3,-,DNB,-,-,0,0,,Test v England,Ahmedabad,24-Feb-21,Test # 2412,Test, England
4,DNB,-,-,-,-,-,,Test v England,Ahmedabad,24-Feb-21,Test # 2412,Test, England
1,-,DNB,-,-,0,0,,Test v England,Ahmedabad,04-Mar-21,Test # 2414,Test, England
2,0,-,-,-,-,-,,Test v England,Ahmedabad,04-Mar-21,Test # 2414,Test, England
3,-,DNB,-,-,1,0,,Test v England,Ahmedabad,04-Mar-21,Test # 2414,Test, England
1,0,-,-,-,-,-,,T20I v England,Ahmedabad,12-Mar-21,T20I # 1131,T20I, England
2,-,DNB,-,-,0,0,,T20I v England,Ahmedabad,12-Mar-21,T20I # 1131,T20I, England
1,-,DNB,-,-,0,0,,T20I v England,Ahmedabad,14-Mar-21,T20I # 1132,T20I, England
2,73*,-,-,-,-,-,,T20I v England,Ahmedabad,14-Mar-21,T20I # 1132,T20I, England
1,77*,-,-,-,-,-,,T20I v England,Ahmedabad,16-Mar-21,T20I # 1133,T20I, England
2,-,DNB,-,-,0,0,,T20I v England,Ahmedabad,16-Mar-21,T20I # 1133,T20I, England
1,1,-,-,-,-,-,,T20I v England,Ahmedabad,18-Mar-21,T20I # 1135,T20I, England
2,-,DNB,-,-,0,0,,T20I v England,Ahmedabad,18-Mar-21,T20I # 1135,T20I, England
1,80*,-,-,-,-,-,,T20I v England,Ahmedabad,20-Mar-21,T20I # 1138,T20I, England
2,-,DNB,-,-,0,0,,T20I v England,Ahmedabad,20-Mar-21,T20I # 1138,T20I, England
1,56,-,-,-,-,-,,ODI v England,Pune,23-Mar-21,ODI # 4281,ODI ,England
2,-,DNB,-,-,1,0,,ODI v England,Pune,23-Mar-21,ODI # 4281,ODI ,England
1,66,-,-,-,-,-,,ODI v England,Pune,26-Mar-21,ODI # 4283,ODI ,England
2,-,DNB,-,-,1,0,,ODI v England,Pune,26-Mar-21,ODI # 4283,ODI ,England
1,7,-,-,-,-,-,,ODI v England,Pune,28-Mar-21,ODI # 4284,ODI ,England
2,-,DNB,-,-,1,0,,ODI v England,Pune,28-Mar-21,ODI # 4284,ODI ,England
1,44,-,-,-,-,-,,Test v New Zealand,Southampton,18-Jun-21,Test # 2425,Test, New Zealand
2,-,DNB,-,-,2,0,,Test v New Zealand,Southampton,18-Jun-21,Test # 2425,Test, New Zealand
3,13,-,-,-,-,-,,Test v New Zealand,Southampton,18-Jun-21,Test # 2425,Test, New Zealand
4,-,DNB,-,-,0,0,,Test v New Zealand,Southampton,18-Jun-21,Test # 2425,Test, New Zealand
1,-,DNB,-,-,0,0,,Test v England,Nottingham,04-Aug-21,Test # 2428,Test, England
2,0,-,-,-,-,-,,Test v England,Nottingham,04-Aug-21,Test # 2428,Test, England
3,-,DNB,-,-,0,0,,Test v England,Nottingham,04-Aug-21,Test # 2428,Test, England
4,DNB,-,-,-,-,-,,Test v England,Nottingham,04-Aug-21,Test # 2428,Test, England
1,42,-,-,-,-,-,,Test v England,Lord's,12-Aug-21,Test # 2429,Test, England
2,-,DNB,-,-,2,0,,Test v England,Lord's,12-Aug-21,Test # 2429,Test, England
3,20,-,-,-,-,-,,Test v England,Lord's,12-Aug-21,Test # 2429,Test, England
4,-,DNB,-,-,2,0,,Test v England,Lord's,12-Aug-21,Test # 2429,Test, England
1,7,-,-,-,-,-,,Test v England,Leeds,25-Aug-21,Test # 2432,Test, England
2,-,DNB,-,-,1,0,,Test v England,Leeds,25-Aug-21,Test # 2432,Test, England
3,55,-,-,-,-,-,,Test v England,Leeds,25-Aug-21,Test # 2432,Test, England
1,50,-,-,-,-,-,,Test v England,The Oval,02-Sep-21,Test # 2433,Test, England
2,-,DNB,-,-,1,0,,Test v England,The Oval,02-Sep-21,Test # 2433,Test, England
3,44,-,-,-,-,-,,Test v England,The Oval,02-Sep-21,Test # 2433,Test, England
4,-,DNB,-,-,0,0,,Test v England,The Oval,02-Sep-21,Test # 2433,Test, England
1,57,-,-,-,-,-,,T20I v Pakistan,Dubai (DICS),24-Oct-21,T20I # 1361,T20I, Pakistan
2,-,DNB,-,-,0,0,,T20I v Pakistan,Dubai (DICS),24-Oct-21,T20I # 1361,T20I, Pakistan
1,9,-,-,-,-,-,,T20I v New Zealand,Dubai (DICS),31-Oct-21,T20I # 1381,T20I, New Zealand
2,-,DNB,-,-,0,0,,T20I v New Zealand,Dubai (DICS),31-Oct-21,T20I # 1381,T20I, New Zealand
1,DNB,-,-,-,-,-,,T20I v Afghanistan,Abu Dhabi,03-Nov-21,T20I # 1390,T20I, Afghanistan
2,-,DNB,-,-,0,0,,T20I v Afghanistan,Abu Dhabi,03-Nov-21,T20I # 1390,T20I, Afghanistan
1,-,DNB,-,-,0,0,,T20I v Scotland,Dubai (DICS),05-Nov-21,T20I # 1396,T20I, Scotland
2,2*,-,-,-,-,-,,T20I v Scotland,Dubai (DICS),05-Nov-21,T20I # 1396,T20I, Scotland
